"model","site","rmse_base","rmse_corr","improvement_pct"
"RF","Range_24 25 m",7.60162525814689,0.504825180817857,93.3589835900313
"RF","Range_24 45 m",7.61017634712074,0.461246808762877,93.9390785742122
"RF","Rosh_HaNikra 15 m",6.80955650144437,0.765259551421326,88.7619766241897
"RF","Rosh_HaNikra 25 m",9.84114400853354,1.04126103473584,89.4193090373138
"RF","Ashkelon 10 m",10.6843817795821,1.11233183975021,89.5891792085164
"RF","Ashkelon 15 m",9.92977011603862,0.637800654051737,93.5768839902793
"RF","Rosh_HaNikra 45 m",7.33411099974592,0.609339179602037,91.6917104251197
"LSTM_2h","Range_24 25 m",7.60162525814689,1.6222636795516,78.6589890390484
"LSTM_2h","Range_24 45 m",7.61017634712074,1.47873746494288,80.5689461387796
"LSTM_2h","Rosh_HaNikra 15 m",6.80955650144437,2.85217462431205,58.1151191901106
"LSTM_2h","Rosh_HaNikra 25 m",9.84114400853354,3.11057496226101,68.3921405929662
"LSTM_2h","Ashkelon 10 m",10.6843817795821,1.47220403775046,86.220971244552
"LSTM_2h","Ashkelon 15 m",9.92977011603862,1.64032202900783,83.4807653164259
"LSTM_2h","Rosh_HaNikra 45 m",7.33411099974592,2.75927644760405,62.3774926818037
